"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 16:29:27 GMT 2023","Wed Aug 09 16:29:30 GMT 2023","2999","","Navigation","","","","should open page from top nav",""
"passed","Wed Aug 09 16:29:27 GMT 2023","Wed Aug 09 16:29:29 GMT 2023","2296","","Landing Page","","","","should have proper title",""
"passed","Wed Aug 09 16:29:30 GMT 2023","Wed Aug 09 16:29:31 GMT 2023","1550","","Navigation","","","","should scroll to anchor on page",""
